datum,km_stand,liter,preis,tankstelle
2014-09-12,12,39.99,59.95,Jet / Weilheim
2014-10-08,534,28.55,38.49,FE-Trading / Anif
2014-10-29,1062,28.47,36.1,FE-Trading / Anif
2014-11-24,1499,24.7,29.86,FE-Trading / Anif
2014-12-15,1967,27.42,30.66,FE-Trading / Anif
2015-01-20,2482,30.04,30.91,FE-Trading / Anif
2015-02-25,2883,23.85,28.1,Maxi.Tank / Anif
2015-03-24,3393,30.03,35.26,FE-Trading / Anif
2015-04-24,3900,28.1,35.35,FE-Trading / Anif
2015-05-13,4411,26.31,33.23,FE-Trading / Anif
2015-06-09,4941,28.35,35.38,FE-Trading / Anif
2015-07-02,5504,29.48,37.85,FE-Trading / Anif
2015-07-20,6094,29.4,37.31,FE-Trading / Anif
2015-08-05,6641,28.03,35.57,FE-Trading / Anif
2015-09-25,7088,26.5,28.96,FE-Trading / Anif
2015-10-16,7613,27.89,30.32,FE-Trading / Anif
2015-11-12,8101,24.92,27.64,FE-Trading / Anif
2015-12-01,8633,28.24,30.58,FE-Trading / Anif
2015-12-22,9135,28.33,30.28,FE-Trading / Anif
2016-01-26,9582,26.22,26.69,FE-Trading / Anif
2016-02-23,10107,29.31,27.93,FE-Trading / Anif
2016-03-17,10634,29.61,30.02,FE-Trading / Anif
2016-04-14,11163,27.82,29.88,FE-Trading / Anif
2016-05-09,11674,27.31,29.06,FE-Trading / Anif
2016-06-10,12306,32.55,35.77,FE-Trading / Anif
2016-08-04,12923,32.6,34.0,FE-Trading / Anif
2016-08-30,13494,31.0,33.26,FE-Trading / Anif
2016-09-29,14018,29.18,31.49,FE-Trading / Anif
2016-10-27,14602,30.69,33.54,FE-Trading / Anif
2017-01-23,15013,32.03,36.32,FE-Trading / Wals-Himmelreich
2017-03-14,15467,27.71,30.98,FE-Trading / Anif
2017-04-11,15959,27.15,33.64,Shell / Großgmain
2017-04-25,16481,27.29,32.17,Shell / Liefering
2017-05-09,17029,28.49,32.45,Shell / Liefering
2017-05-23,17620,30.72,35.91,Leikermoser / Wals
2017-06-09,18253,33.64,39.66,Leikermoser / Wals
2017-06-29,18990,35.74,41.03,Leikermoser / Wals
2017-07-24,19635,28.87,32.57,Shell / Großgmain
2017-08-07,20196,28.54,32.51,Shell / Großgmain
2017-08-21,20712,24.8,27.75,Shell / Großgmain
2017-09-11,21296,29.16,34.35,Shell / Großgmain
2017-09-25,21873,29.44,33.83,Shell / Großgmain
2017-10-09,22444,29.62,34.3,Shell / Großgmain
2017-10-23,23012,27.76,32.01,Shell / Großgmain
2017-11-09,23637,33.79,39.94,FE-Trading / Wals-Himmelreich
2017-11-24,24265,33.49,39.25,FE-Trading / Wals-Himmelreich
2017-12-11,24828,31.46,36.27,FE-Trading / Wals-Himmelreich
2017-12-27,25448,31.15,35.48,FE-Trading / Wals-Himmelreich
